id,time,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,sex_3_TEXT - Topics,yearOfBirth
12113072,2,2019-06-26 14:50:52,1,2,1,2,1,2,4,1,1,3,1,2,4,2,2,2,3,4,4,2,4,2,4,4,2,2,3,5,4,2,4,3,4,3,2,4,4,4,4,5,4,4,2,4,2,4,3,4,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,25,6,1,3,7,2,2,7,6,7,5,7,1,7,2,5,3,3,7,3,6,4,4,7,3,5,6,1,7,7,7,6,7,4,1,NA,1994
12614137,1,2019-05-16 18:30:57,3,2,2,1,2,1,1,2,1,2,1,2,2,4,2,2,4,1,2,4,3,2,1,5,5,2,4,5,4,1,2,4,4,3,2,4,2,5,4,5,1,3,3,3,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,1,2,5,5,3,5,4,5,6,5,2,5,5,5,5,4,5,2,5,2,5,6,3,4,5,1,6,6,6,5,7,3,1,NA,1993
12614137,2,2019-05-21 09:47:29,3,2,1,1,2,1,2,1,1,2,2,2,4,2,1,3,4,1,2,4,4,2,2,4,4,2,1,4,4,1,4,4,4,4,2,4,3,5,4,5,2,5,2,4,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,1,2,5,5,3,5,4,5,6,5,2,5,5,5,5,4,5,2,5,2,5,6,3,4,5,1,6,6,6,5,7,3,1,NA,1993
12921623,1,2019-07-10 12:30:31,1,1,1,1,1,1,1,1,1,2,1,1,5,2,3,4,2,4,2,3,2,1,1,4,2,2,4,3,2,2,4,4,4,2,4,4,2,4,3,3,1,4,1,3,2,3,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,1,28,4,0,4,6,6,1,6,6,6,6,6,1,7,2,6,6,2,6,5,3,3,4,5,1,2,5,2,7,6,7,6,7,3,2,NA,1991
12921623,2,2019-07-16 16:29:55,2,1,5,1,1,1,2,1,1,2,1,2,4,1,2,3,2,4,1,3,2,1,1,4,2,3,4,4,2,1,4,4,4,2,4,4,3,4,4,2,2,5,1,2,1,4,3,5,2,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,28,4,0,4,6,6,1,6,6,6,6,6,1,7,2,6,6,2,6,5,3,3,4,5,1,2,5,2,7,6,7,6,7,3,2,NA,1991
13101928,1,2019-06-09 14:26:21,1,1,1,1,1,1,1,1,1,2,1,1,5,1,1,5,4,3,5,5,4,1,3,5,1,1,1,5,5,1,5,5,5,5,3,4,4,5,4,4,2,5,1,5,1,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,0,2,6,1,1,2,6,6,7,3,2,3,4,5,4,1,5,2,2,2,1,1,2,2,5,1,6,3,7,4,6,2,3,NA,1993
13101928,2,2019-06-19 14:04:06,1,1,1,1,1,1,1,1,1,2,1,1,4,1,2,5,3,4,5,4,3,1,4,5,1,1,2,5,5,1,4,4,5,3,4,4,4,5,3,5,1,5,1,5,1,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5,0,2,6,1,1,2,6,6,7,3,2,3,4,5,4,1,5,2,2,2,1,1,2,2,5,1,6,3,7,4,6,2,3,NA,1993
13102215,1,2019-05-16 15:18:32,1,1,1,1,1,1,1,1,1,3,1,1,4,3,3,3,4,3,1,3,1,2,2,4,1,1,3,4,1,1,3,2,1,1,3,3,5,3,3,2,2,3,2,2,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5,0,2,5,2,1,6,1,3,4,4,1,5,5,3,2,1,6,4,3,5,1,1,2,1,5,2,6,5,6,3,6,2,3,NA,1991
13102215,2,2019-05-21 08:20:50,1,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,4,3,1,3,2,2,2,4,1,2,3,4,2,1,3,3,1,1,3,3,5,3,3,3,2,2,1,2,1,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,5,0,2,5,2,1,6,1,3,4,4,1,5,5,3,2,1,6,4,3,5,1,1,2,1,5,2,6,5,6,3,6,2,3,NA,1991
13108311,1,2019-06-12 16:30:06,1,1,2,1,1,1,1,1,1,2,1,1,4,1,1,2,4,4,3,2,4,2,1,4,4,2,3,5,5,1,4,4,3,2,2,3,2,5,2,5,1,5,1,2,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,1,2,5,6,4,4,2,5,6,4,2,5,3,3,3,1,5,3,3,3,5,4,3,3,4,2,7,3,3,3,6,4,2,NA,1992
