participant,time,iat
00119636,001,0.34560736949292964
00119636,002,-0.09701049416724265
05949000,001,-0.01891246718916524
05949000,002,0.44643415432483835
06218481,001,0.2593553780614706
06218481,002,0.12401028226167257
06643977,001,-0.7339909604225452
06643977,002,-0.7592672965587142
07114687,001,-0.4200404768906238
07114687,002,0.3371731262351592
09214883,001,-0.40956238101361575
09214883,002,0.26060109375294177
09562547,001,-0.9362685762034056
09562547,002,-0.5271692725692654
09733551,001,0.040575290088728504
09733551,002,-0.31805752281377464
11110681,001,0.6791299289476902
11110681,002,0.6524917598447688
11111580,001,0.21972961867667617
11111580,002,0.6447649510489954
11114873,001,-0.28935662680132235
11114873,002,-0.16238380455393947
11121787,001,-0.5466411020254839
11121787,002,-0.2757103738254362
12113072,001,0.39929213688396337
12113072,002,0.49199355803573186
12614137,001,0.3409992845723301
12614137,002,-0.12848426242418
12921623,001,0.10778623953780696
12921623,002,0.10341932801904907
13101928,001,-0.22780201771077935
13101928,002,-0.27522859738569827
13102215,001,0.12663236818944928
13102215,002,0.06912913994365844
13108311,001,-0.1653777677514584
13108311,002,0.14018223921055886
13109376,001,0.4835347012926736
13109376,002,0.503935082962151
13111752,001,-0.2048446685132384
13111752,002,0.5536310178269929
13112792,001,-0.3598574669620635
13112792,002,-0.5401975748769688
13115704,001,0.14998701980945492
13115704,002,-0.1722201385664609
13123625,001,0.6581991227050061
13123625,002,0.08620290815393328
13279500,001,0.7697385474855334
13279500,002,0.28473130875679886
13719067,001,0.45996339198657576
13719067,002,1.0822154833400575
14113971,001,0.18112017602093522
14113971,002,0.7148678151004242
14118467,001,-0.14912385467472977
14118467,002,0.2482815420213337
14120430,001,-0.2931068911186797
14120430,002,-0.12932152270030955
14127948,001,0.073631345392387
14127948,002,0.4962294551104575
14131965,001,1.1066065806476453
14131965,002,0.6288834547216242
14132336,001,-0.25664260258634786
14132336,002,0.150227134338043
14134936,001,0.7171640464441424
14134936,002,0.2862054958923635
14250831,001,0.09717009981163724
14250831,002,0.7972370108973624
15102775,001,-0.19885155674253185
15102775,002,0.17012515703618997
15110646,001,-0.45216200871860557
15110646,002,0.011711761803407494
15119027,001,0.37921265831761025
15119027,002,0.9704773632514341
15119050,001,0.6975845510437334
15119050,002,0.19027253040235254
15123524,001,0.4578035875505705
15123524,002,0.48260366837862956
16103707,001,0.5233430741376811
16103707,002,-0.18297050505497778
16117897,001,-0.510247136953659
16117897,002,0.13680791416363236
16120685,001,0.523433519197781
16120685,002,0.3365076379695216
16725020,001,0.11900787332691068
16725020,002,0.3146455124875209
17153164,001,0.2806386632399811
17153164,002,0.5796828134421947
17104084,001,0.18419749952624945
17104084,002,-0.1478525324607661
17108085,001,0.1498180634732075
17108085,002,0.2188131044613356
17118597,001,0.7803176935063854
17118597,002,6.36360771144609e-4
17118647,001,0.8838257766519362
17118647,002,0.7785857027481624
17118670,001,0.8105294517252873
17118670,002,0.5676278800386312
17118746,001,0.7930224855945106
17118746,002,0.25692803256671315
17121534,001,-0.5677129140210009
17121534,002,-0.6225631887006039
17124801,001,0.7985117850227945
17124801,002,0.7782454304857561
17126475,001,-0.08003502509723895
17126475,002,-0.8069255472204061
18100917,001,0.3965720860607025
18100917,002,0.597012662261196
18101246,001,-0.31825582461507307
18101246,002,0.021172071609542834
18101881,001,0.6683557519067475
18101881,002,0.7217435385078632
18108431,001,0.9904467864232915
18108431,002,0.6603824939439022
18108720,001,0.17791045934891897
18108720,002,0.17204818019063792
18113662,001,-0.40372364706510183
18113662,002,0.6644795083699818
18119461,001,0.1944269740846607
18119461,002,0.25773987431282924
18119925,001,0.21385656564222894
18119925,002,-0.3940881434580795
18874834,001,0.9867122723216749
18874834,002,1.1536059432322907
18874859,001,0.24677921455892265
18874859,002,0.6033567452559411
20111222,001,0.08568474669103043
20111222,002,0.5957000841802913
20200300,001,-0.9148800412144142
20200300,002,-1.1426321014250487
20222333,001,0.9874595484469576
20222333,002,0.32647343142785157
20456789,001,0.47682863248192187
20456789,002,0.4821778777810699
EftPx,001,-1.123954924491245
EftPx,002,0.4651863194376028
kim,001,-0.16012642583514627
kim,002,-0.11137230568226994
sutti,001,-0.3704443701499358
sutti,002,-0.40650085771971395
