"time","value","Date"
"08:45:34","130","2019-07-17"
"08:45:39","147","2019-07-17"
"08:45:44","144","2019-07-17"
"08:46:07","70","2019-07-17"
"08:46:17","120","2019-07-17"
"08:46:22","102","2019-07-17"
"08:46:27","106","2019-07-17"
"08:46:32","107","2019-07-17"
"08:46:37","106","2019-07-17"
"08:46:42","105","2019-07-17"
"08:46:47","106","2019-07-17"
"08:46:57","108","2019-07-17"
"08:47:12","107","2019-07-17"
"08:47:22","108","2019-07-17"
"08:47:27","110","2019-07-17"
"08:47:32","111","2019-07-17"
"08:47:37","112","2019-07-17"
"08:47:42","115","2019-07-17"
"08:47:52","114","2019-07-17"
"08:48:02","115","2019-07-17"
"08:48:07","117","2019-07-17"
"08:48:13","119","2019-07-17"
"08:48:18","113","2019-07-17"
"08:48:23","111","2019-07-17"
"08:48:28","109","2019-07-17"
"08:48:33","113","2019-07-17"
"08:48:38","111","2019-07-17"
"08:48:43","107","2019-07-17"
"08:48:48","106","2019-07-17"
"08:48:53","103","2019-07-17"
"08:48:58","105","2019-07-17"
"08:49:03","106","2019-07-17"
"08:49:13","105","2019-07-17"
"08:49:18","106","2019-07-17"
"08:49:33","106","2019-07-17"
"08:49:38","105","2019-07-17"
"08:49:43","104","2019-07-17"
"08:49:48","103","2019-07-17"
"08:49:53","104","2019-07-17"
"08:49:58","108","2019-07-17"
"08:50:03","105","2019-07-17"
"08:50:08","153","2019-07-17"
"08:50:14","152","2019-07-17"
"08:50:19","151","2019-07-17"
"08:50:24","149","2019-07-17"
"08:50:29","143","2019-07-17"
"08:50:34","138","2019-07-17"
"08:50:39","130","2019-07-17"
"08:50:44","123","2019-07-17"
"08:50:49","117","2019-07-17"
"08:50:54","113","2019-07-17"
"08:50:59","111","2019-07-17"
"08:51:04","108","2019-07-17"
"08:51:09","107","2019-07-17"
"08:51:14","105","2019-07-17"
"08:51:29","106","2019-07-17"
"08:51:39","110","2019-07-17"
"08:51:44","113","2019-07-17"
"08:51:49","111","2019-07-17"
"08:51:54","115","2019-07-17"
"08:51:59","114","2019-07-17"
"08:52:04","119","2019-07-17"
"08:52:09","126","2019-07-17"
"08:52:14","130","2019-07-17"
"08:52:19","134","2019-07-17"
"08:52:24","139","2019-07-17"
"08:52:29","142","2019-07-17"
"08:52:34","143","2019-07-17"
"08:52:39","140","2019-07-17"
"08:52:46","136","2019-07-17"
"08:52:51","135","2019-07-17"
"08:52:56","139","2019-07-17"
"08:53:01","144","2019-07-17"
"08:53:06","142","2019-07-17"
"08:53:11","145","2019-07-17"
"08:53:16","148","2019-07-17"
"08:53:21","149","2019-07-17"
"08:53:26","147","2019-07-17"
"08:53:31","144","2019-07-17"
"08:53:36","145","2019-07-17"
"08:53:41","146","2019-07-17"
"08:53:46","147","2019-07-17"
"08:53:51","149","2019-07-17"
"08:54:06","150","2019-07-17"
"08:54:11","151","2019-07-17"
"08:54:16","152","2019-07-17"
"08:54:21","152","2019-07-17"
"08:54:26","154","2019-07-17"
"08:54:31","151","2019-07-17"
"08:54:36","149","2019-07-17"
"08:54:41","148","2019-07-17"
"08:54:46","150","2019-07-17"
"08:54:51","145","2019-07-17"
"08:54:56","141","2019-07-17"
"08:55:01","136","2019-07-17"
"08:55:06","132","2019-07-17"
"08:55:12","130","2019-07-17"
"08:55:17","133","2019-07-17"
"08:55:22","134","2019-07-17"
"08:55:27","135","2019-07-17"
"08:55:32","134","2019-07-17"
"08:55:37","135","2019-07-17"
"08:55:42","133","2019-07-17"
"08:55:47","130","2019-07-17"
"08:55:52","124","2019-07-17"
