"time","value","Date"
"00:39:59","82","2019-05-10"
"00:40:14","82","2019-05-10"
"00:40:17","82","2019-05-10"
"00:40:32","82","2019-05-10"
"00:40:47","82","2019-05-10"
"00:41:02","82","2019-05-10"
"00:41:17","82","2019-05-10"
"00:41:32","82","2019-05-10"
"00:41:47","82","2019-05-10"
"00:42:02","82","2019-05-10"
"00:42:17","82","2019-05-10"
"00:42:32","82","2019-05-10"
"00:42:47","82","2019-05-10"
"00:43:02","82","2019-05-10"
"00:43:17","82","2019-05-10"
"00:43:32","82","2019-05-10"
"00:43:47","82","2019-05-10"
"00:44:02","82","2019-05-10"
"00:44:17","82","2019-05-10"
"00:44:32","82","2019-05-10"
"00:44:47","82","2019-05-10"
"00:45:02","82","2019-05-10"
"00:45:17","82","2019-05-10"
"00:45:32","82","2019-05-10"
"00:45:47","82","2019-05-10"
"00:46:02","82","2019-05-10"
"00:46:17","82","2019-05-10"
"00:46:32","82","2019-05-10"
"00:46:47","82","2019-05-10"
"00:46:50","82","2019-05-10"
"00:47:05","82","2019-05-10"
"00:47:20","82","2019-05-10"
"00:47:35","82","2019-05-10"
"00:47:50","82","2019-05-10"
"00:48:05","82","2019-05-10"
"00:48:20","82","2019-05-10"
"00:48:35","82","2019-05-10"
"00:48:50","82","2019-05-10"
"00:49:05","82","2019-05-10"
"00:49:20","82","2019-05-10"
"00:49:35","82","2019-05-10"
"00:49:50","82","2019-05-10"
"00:50:05","82","2019-05-10"
"00:50:20","82","2019-05-10"
"00:50:35","82","2019-05-10"
"00:50:50","82","2019-05-10"
"00:51:05","82","2019-05-10"
"00:51:20","82","2019-05-10"
"00:51:35","82","2019-05-10"
"00:51:50","82","2019-05-10"
"00:52:05","82","2019-05-10"
"00:52:20","82","2019-05-10"
"00:52:35","82","2019-05-10"
"00:52:50","82","2019-05-10"
"00:53:05","82","2019-05-10"
"00:53:20","82","2019-05-10"
"00:53:23","82","2019-05-10"
"00:53:38","82","2019-05-10"
"00:53:53","82","2019-05-10"
"00:54:08","82","2019-05-10"
"00:54:23","82","2019-05-10"
"00:54:38","82","2019-05-10"
"00:54:53","82","2019-05-10"
"00:55:08","82","2019-05-10"
"00:55:23","82","2019-05-10"
"00:55:38","82","2019-05-10"
"00:55:53","82","2019-05-10"
"00:56:08","82","2019-05-10"
"00:56:23","82","2019-05-10"
"00:56:38","82","2019-05-10"
"00:56:53","82","2019-05-10"
"00:57:08","82","2019-05-10"
"00:57:23","82","2019-05-10"
"00:57:38","82","2019-05-10"
"00:57:53","82","2019-05-10"
"00:58:08","82","2019-05-10"
"00:58:23","82","2019-05-10"
"00:58:38","82","2019-05-10"
"00:58:53","82","2019-05-10"
"00:59:08","82","2019-05-10"
"00:59:23","82","2019-05-10"
"00:59:38","82","2019-05-10"
"00:59:53","82","2019-05-10"
"00:59:57","82","2019-05-10"
"01:00:12","82","2019-05-10"
"01:00:27","82","2019-05-10"
"01:00:42","82","2019-05-10"
"01:00:57","82","2019-05-10"
"01:01:12","82","2019-05-10"
"01:01:27","82","2019-05-10"
"01:01:42","82","2019-05-10"
"01:01:57","82","2019-05-10"
"01:02:12","82","2019-05-10"
"01:02:27","82","2019-05-10"
"01:02:42","82","2019-05-10"
"01:02:57","82","2019-05-10"
"01:03:12","82","2019-05-10"
"01:03:27","82","2019-05-10"
"01:03:42","82","2019-05-10"
"01:03:57","82","2019-05-10"
"01:04:12","82","2019-05-10"
"01:04:27","82","2019-05-10"
"01:04:42","82","2019-05-10"
"01:04:57","82","2019-05-10"
"01:05:12","82","2019-05-10"
"01:05:27","82","2019-05-10"
"01:05:42","82","2019-05-10"
"01:05:57","82","2019-05-10"
"01:06:12","82","2019-05-10"
"01:06:27","82","2019-05-10"
"01:06:30","82","2019-05-10"
"01:06:45","82","2019-05-10"
"01:07:00","82","2019-05-10"
"01:07:15","82","2019-05-10"
"01:07:30","82","2019-05-10"
"01:07:45","82","2019-05-10"
"01:08:00","82","2019-05-10"
"01:08:15","82","2019-05-10"
"01:08:30","82","2019-05-10"
"01:08:45","82","2019-05-10"
"01:09:00","82","2019-05-10"
"01:09:15","82","2019-05-10"
"01:09:30","82","2019-05-10"
"01:09:45","82","2019-05-10"
"01:10:00","82","2019-05-10"
"01:10:15","82","2019-05-10"
"01:10:30","82","2019-05-10"
"01:10:45","82","2019-05-10"
"01:11:00","82","2019-05-10"
"01:11:15","82","2019-05-10"
"01:11:30","82","2019-05-10"
"01:11:45","82","2019-05-10"
"01:12:00","82","2019-05-10"
"01:12:15","82","2019-05-10"
"01:12:30","82","2019-05-10"
"01:12:45","82","2019-05-10"
"01:13:00","82","2019-05-10"
"01:13:03","82","2019-05-10"
"01:13:18","82","2019-05-10"
"01:13:33","82","2019-05-10"
"01:13:48","82","2019-05-10"
"01:14:03","82","2019-05-10"
"01:14:18","82","2019-05-10"
"01:14:33","82","2019-05-10"
"01:14:48","82","2019-05-10"
"01:15:03","82","2019-05-10"
"01:15:18","82","2019-05-10"
"01:15:33","82","2019-05-10"
"01:15:48","82","2019-05-10"
"01:16:03","82","2019-05-10"
"01:16:18","82","2019-05-10"
"01:16:33","82","2019-05-10"
"01:16:48","82","2019-05-10"
"01:17:03","82","2019-05-10"
"01:17:18","82","2019-05-10"
"01:17:33","82","2019-05-10"
"01:17:48","82","2019-05-10"
"01:18:03","82","2019-05-10"
"01:18:18","82","2019-05-10"
"01:18:33","82","2019-05-10"
"01:18:48","82","2019-05-10"
"01:19:03","82","2019-05-10"
"01:19:18","82","2019-05-10"
"01:19:33","82","2019-05-10"
"01:19:36","82","2019-05-10"
"01:19:51","82","2019-05-10"
"01:20:06","82","2019-05-10"
"01:20:21","82","2019-05-10"
"01:20:36","82","2019-05-10"
"01:20:51","82","2019-05-10"
"01:21:06","82","2019-05-10"
"01:21:21","82","2019-05-10"
"01:21:36","82","2019-05-10"
"01:21:51","82","2019-05-10"
"01:22:06","82","2019-05-10"
"01:22:21","82","2019-05-10"
"01:22:36","82","2019-05-10"
"01:22:51","82","2019-05-10"
"01:23:06","82","2019-05-10"
"01:23:21","82","2019-05-10"
"01:23:36","82","2019-05-10"
"01:23:51","82","2019-05-10"
"01:24:06","82","2019-05-10"
"01:24:21","82","2019-05-10"
"01:24:36","82","2019-05-10"
"01:24:51","82","2019-05-10"
"01:25:06","82","2019-05-10"
"01:25:21","82","2019-05-10"
"01:25:36","82","2019-05-10"
"01:25:51","82","2019-05-10"
"01:26:06","82","2019-05-10"
"01:26:10","82","2019-05-10"
"01:26:25","82","2019-05-10"
"01:26:40","82","2019-05-10"
"01:26:55","82","2019-05-10"
"01:27:10","82","2019-05-10"
"01:27:25","82","2019-05-10"
"01:27:40","82","2019-05-10"
"01:27:55","82","2019-05-10"
"01:28:10","82","2019-05-10"
"01:28:25","82","2019-05-10"
"01:28:40","82","2019-05-10"
"01:28:55","82","2019-05-10"
"01:29:10","82","2019-05-10"
"01:29:25","82","2019-05-10"
"01:29:40","82","2019-05-10"
"01:29:55","82","2019-05-10"
"01:30:10","82","2019-05-10"
"01:30:25","82","2019-05-10"
"01:30:40","82","2019-05-10"
"01:30:55","82","2019-05-10"
"01:31:10","82","2019-05-10"
"01:31:25","82","2019-05-10"
"01:31:40","82","2019-05-10"
"01:31:55","82","2019-05-10"
"01:32:10","82","2019-05-10"
"01:32:25","82","2019-05-10"
"01:32:40","82","2019-05-10"
"01:32:43","82","2019-05-10"
"01:32:58","82","2019-05-10"
"01:33:13","82","2019-05-10"
"01:33:28","82","2019-05-10"
"01:33:43","82","2019-05-10"
"01:33:58","82","2019-05-10"
"01:34:13","82","2019-05-10"
"01:34:28","82","2019-05-10"
"01:34:43","82","2019-05-10"
"01:34:58","82","2019-05-10"
"01:35:13","82","2019-05-10"
"01:35:28","82","2019-05-10"
"01:35:43","82","2019-05-10"
"01:35:58","82","2019-05-10"
"01:36:13","82","2019-05-10"
