"time","value","Date"
"14:39:50","76","2019-06-03"
"14:39:55","75","2019-06-03"
"14:40:00","75","2019-06-03"
"14:40:10","74","2019-06-03"
"14:40:15","72","2019-06-03"
"14:40:30","72","2019-06-03"
"14:40:35","73","2019-06-03"
"14:40:40","68","2019-06-03"
"14:40:45","68","2019-06-03"
"14:41:00","69","2019-06-03"
"14:41:05","68","2019-06-03"
"14:41:10","69","2019-06-03"
"14:41:25","69","2019-06-03"
"14:41:40","69","2019-06-03"
"14:41:45","68","2019-06-03"
"14:41:50","68","2019-06-03"
"14:42:05","68","2019-06-03"
"14:42:20","68","2019-06-03"
"14:42:35","68","2019-06-03"
"14:42:50","68","2019-06-03"
"14:43:05","68","2019-06-03"
"14:43:20","68","2019-06-03"
"14:43:22","68","2019-06-03"
"14:43:37","68","2019-06-03"
"14:43:42","68","2019-06-03"
"14:43:52","69","2019-06-03"
"14:44:07","69","2019-06-03"
"14:44:12","70","2019-06-03"
"14:44:17","71","2019-06-03"
"14:44:22","72","2019-06-03"
"14:44:27","73","2019-06-03"
"14:44:42","74","2019-06-03"
"14:44:57","75","2019-06-03"
"14:45:12","75","2019-06-03"
"14:45:27","75","2019-06-03"
"14:45:42","76","2019-06-03"
"14:45:57","76","2019-06-03"
"14:46:02","75","2019-06-03"
"14:46:07","76","2019-06-03"
"14:46:22","72","2019-06-03"
"14:46:27","71","2019-06-03"
"14:46:37","72","2019-06-03"
"14:46:52","72","2019-06-03"
"14:47:07","68","2019-06-03"
"14:47:12","67","2019-06-03"
"14:47:17","64","2019-06-03"
"14:47:22","65","2019-06-03"
"14:47:27","62","2019-06-03"
"14:47:32","63","2019-06-03"
"14:47:38","64","2019-06-03"
"14:47:53","64","2019-06-03"
"14:48:08","65","2019-06-03"
"14:48:13","64","2019-06-03"
"14:48:28","64","2019-06-03"
"14:48:43","64","2019-06-03"
"14:48:48","67","2019-06-03"
"14:48:53","66","2019-06-03"
"14:48:58","67","2019-06-03"
"14:49:13","67","2019-06-03"
"14:49:18","66","2019-06-03"
"14:49:23","65","2019-06-03"
"14:49:38","65","2019-06-03"
"14:49:43","66","2019-06-03"
"14:49:53","65","2019-06-03"
"15:09:25","70","2019-06-03"
"15:09:57","70","2019-06-03"
"15:11:33","70","2019-06-03"
"15:12:13","70","2019-06-03"
"15:12:28","70","2019-06-03"
"15:12:33","74","2019-06-03"
"15:12:38","105","2019-06-03"
"15:12:43","98","2019-06-03"
"15:12:48","100","2019-06-03"
