"time","value","Date"
"08:46:12","70","2019-06-25"
"08:47:01","70","2019-06-25"
"09:20:09","70","2019-06-25"
"09:20:34","70","2019-06-25"
"09:20:44","78","2019-06-25"
"09:20:49","83","2019-06-25"
"09:20:54","77","2019-06-25"
"09:20:59","93","2019-06-25"
"09:21:04","98","2019-06-25"
"09:21:09","101","2019-06-25"
"09:21:14","99","2019-06-25"
"09:21:24","104","2019-06-25"
"09:21:39","104","2019-06-25"
"09:21:44","94","2019-06-25"
"09:21:49","83","2019-06-25"
"09:21:54","73","2019-06-25"
"09:21:59","73","2019-06-25"
"09:22:04","74","2019-06-25"
"09:22:09","76","2019-06-25"
"09:22:24","76","2019-06-25"
"09:22:29","75","2019-06-25"
"09:22:34","74","2019-06-25"
"09:22:44","75","2019-06-25"
"09:22:59","76","2019-06-25"
"09:23:00","76","2019-06-25"
"09:23:05","75","2019-06-25"
"09:23:15","74","2019-06-25"
"09:23:20","75","2019-06-25"
"09:23:25","74","2019-06-25"
"09:23:30","75","2019-06-25"
"09:23:35","73","2019-06-25"
"09:23:40","72","2019-06-25"
"09:23:55","72","2019-06-25"
"09:24:00","73","2019-06-25"
"09:24:15","73","2019-06-25"
"09:24:30","73","2019-06-25"
"09:24:40","72","2019-06-25"
"09:24:45","73","2019-06-25"
"09:24:50","73","2019-06-25"
"09:25:05","73","2019-06-25"
"09:25:10","74","2019-06-25"
"09:25:15","75","2019-06-25"
"09:25:20","75","2019-06-25"
"09:25:25","75","2019-06-25"
"09:25:30","76","2019-06-25"
"09:25:35","77","2019-06-25"
"09:25:45","77","2019-06-25"
"09:25:50","76","2019-06-25"
"09:26:05","75","2019-06-25"
"09:26:20","74","2019-06-25"
"09:26:25","73","2019-06-25"
"09:26:32","73","2019-06-25"
"09:26:37","73","2019-06-25"
"09:26:42","73","2019-06-25"
"09:26:57","73","2019-06-25"
"09:27:02","72","2019-06-25"
"09:27:12","74","2019-06-25"
"09:27:17","73","2019-06-25"
"09:27:32","65","2019-06-25"
"09:27:37","61","2019-06-25"
"09:27:42","62","2019-06-25"
